"datarateSelected:vector manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.110172725807,54000000
0.121624488356,54000000
0.125084407739,54000000
0.128892368694,54000000
0.130350705183,54000000
0.130560458661,54000000
0.131164054051,54000000
0.132145793221,54000000
0.134370536521,54000000
0.134453536521,54000000
0.137805318754,54000000
0.138479366877,54000000
0.138679366877,54000000
0.14305985605,54000000
3.107866584096,54000000
3.127659936978,54000000
3.134091389841,54000000
3.1351900252,54000000
3.1353900252,54000000
3.1354640252,54000000
3.138886786002,54000000
3.143906629684,54000000
3.144945048948,54000000
3.145543972113,54000000
3.155292492001,54000000
7.110136577967,54000000
7.120303758735,54000000
7.126307634391,54000000
7.13465737586,54000000
7.135768935135,54000000
7.138155966149,54000000
7.140648345574,54000000
7.141043345557,54000000
7.141189345557,54000000
7.142286518177,54000000
7.143112793543,24000000
7.143328793543,54000000
7.143701436188,24000000
7.144838806933,24000000
7.146990868547,54000000
7.147114510954,54000000
7.147875341573,54000000
7.148663673312,54000000
7.149882376191,54000000
7.150181018394,54000000
7.150502018394,54000000
7.151387706809,54000000
7.152299171441,54000000
7.152937928676,54000000
7.153841739175,54000000
7.161723893037,24000000
7.162116893024,24000000
7.162458893024,54000000
7.162726034529,24000000
7.162798034529,54000000
7.163594022567,54000000
7.164574022567,54000000
7.16588045121,54000000
7.16686945121,54000000
7.169306407376,24000000
7.169828407376,54000000
7.170754609673,24000000
7.172000811624,24000000
7.174853811624,54000000
7.18157984299,24000000
7.184645401513,24000000
7.184798401513,54000000
7.189615959591,24000000
7.189869599111,24000000
7.192929599111,54000000
7.193506958849,24000000
7.197178958849,54000000
7.197503597861,54000000
7.198157597835,24000000
7.198283597835,54000000
7.199137597835,54000000
7.199436236712,54000000
7.199910236712,54000000
7.200854875536,54000000
7.2011705143,54000000
7.2019705143,54000000
7.2025095143,54000000
7.202808152949,54000000
7.203318152949,54000000
7.203926152949,54000000
7.204687152949,54000000
7.207299285773,54000000
7.213058968555,54000000
7.222751967624,54000000
7.223089967624,54000000
7.223574967624,54000000
7.22382160486,54000000
7.22448660486,54000000
7.224785242032,54000000
7.225295242032,54000000
7.225876242032,54000000
7.226349242032,54000000
7.226633242032,54000000
7.232267878969,54000000
7.236863975656,54000000
7.237210975656,54000000
7.237866975656,54000000
7.238540975656,54000000
7.239502975656,54000000
7.242034611836,54000000
7.245642611836,54000000
7.248566611836,54000000
7.250415624461,24000000
7.250891259888,24000000
7.251126895292,24000000
7.252215895292,54000000
7.252558530608,54000000
7.253097530608,54000000
7.253396165861,54000000
7.253730801097,54000000
7.254332801097,54000000
7.255366801097,54000000
7.256436801097,54000000
7.256735436127,54000000
7.257056436127,54000000
7.257592436127,54000000
7.258047436127,54000000
7.26058598932,54000000
7.26395698932,54000000
7.26508698932,54000000
7.265607532511,54000000
7.266370532486,54000000
7.26688253996,54000000
7.269646174235,54000000
7.271750174167,54000000
7.277033173986,54000000
7.277378807642,54000000
7.278064178479,54000000
7.278362812064,54000000
7.278629812064,54000000
7.278859812064,54000000
7.279287812064,54000000
7.279609445567,24000000
7.279737079054,24000000
7.28021271252,24000000
7.280632712506,24000000
7.280956712506,54000000
7.2867073458,54000000
7.2889713458,54000000
7.28927797866,54000000
7.29004197866,54000000
7.29076997866,54000000
7.291068611397,54000000
7.291331244117,54000000
7.291924244117,54000000
7.292631244079,54000000
7.293881244079,54000000
7.296412780677,54000000
7.297122780677,54000000
7.297877780677,54000000
7.298533780677,54000000
7.298934780677,54000000
7.299641780677,54000000
7.300204780677,54000000
7.301406778957,54000000
7.303513947687,54000000
7.304139947687,54000000
7.304401579537,54000000
7.305210579537,54000000
7.306181579537,54000000
7.307267211274,54000000
7.307565842913,54000000
7.308021842913,54000000
