"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0,0
0,0
0,2
0.110172725807,3
0.110214725807,2
0.121624488356,3
0.121666488356,2
0.125084407739,3
0.125130407739,2
0.128892368694,3
0.128938368694,2
0.130350705183,3
0.130396705183,2
0.130560458661,3
0.130606458661,2
0.131164054051,3
0.131210054051,2
0.132145793221,3
0.132191793221,2
0.134370536521,3
0.134416536521,2
0.134453536521,3
0.134499536521,2
0.137805318754,3
0.137851318754,2
0.138479366877,3
0.138525366877,2
0.138679366877,3
0.138725366877,2
0.14305985605,3
0.14310585605,2
3.107866584096,3
3.107908584096,2
3.127659936978,3
3.127701936978,2
3.134091389841,3
3.134137389841,2
3.1351900252,3
3.1352360252,2
3.1353900252,3
3.1354360252,2
3.1354640252,3
3.1355100252,2
3.138886786002,3
3.138932786002,2
3.143906629684,3
3.143952629684,2
3.144945048948,3
3.144991048948,2
3.145543972113,3
3.145589972113,2
3.155292492001,3
3.155338492001,2
7.110136577967,3
7.110178577967,2
7.120303758735,3
7.120345758735,2
7.126307634391,3
7.126353634391,2
7.13465737586,3
7.13470337586,2
7.135768935135,3
7.135814935135,2
7.138155966149,3
7.138201966149,2
7.140648345574,3
7.140686345574,2
7.141043345557,3
7.141081345557,2
7.141189345557,3
7.141227345557,2
7.142286518177,3
7.142324518177,2
7.143122793543,3
7.143156793543,2
7.143328793543,3
7.143366793543,2
7.143711436188,3
7.143745436188,2
7.144848806933,3
7.144882806933,2
7.146990868547,3
7.147028868547,2
7.147114510954,3
7.147364510954,2
7.147875341573,3
7.148125341573,2
7.148663673312,3
7.148913673312,2
7.149882376191,3
7.150132376191,2
7.150191018394,3
7.150349018394,2
7.150502018394,3
7.150660018394,2
7.151387706809,3
7.151545706809,2
7.152299171441,3
7.152457171441,2
7.152937928676,3
7.153095928676,2
7.153841739175,3
7.153999739175,2
7.161733893037,3
7.161767893037,2
7.162126893024,3
7.162160893024,2
7.162458893024,3
7.162616893024,2
7.162736034529,3
7.162770034529,2
7.162798034529,3
7.163048034529,2
7.163594022567,3
7.163844022567,2
7.164574022567,3
7.164824022567,2
7.16588045121,3
7.16613045121,2
7.16686945121,3
7.16711945121,2
7.169316407376,3
7.169350407376,2
7.169828407376,3
7.170078407376,2
7.170764609673,3
7.170798609673,2
7.172010811624,3
7.172044811624,2
7.174853811624,3
7.175103811624,2
7.18158984299,3
7.18162384299,2
7.184655401513,3
7.184689401513,2
7.184798401513,3
7.184956401513,2
7.189625959591,3
7.189659959591,2
7.189879599111,3
7.189913599111,2
7.192929599111,3
7.193087599111,2
7.193516958849,3
7.193550958849,2
