"packetReceivedFromPeerWithoutRetry:vector(packetBytes) manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.110220688617,92
0.114190673773,98
0.11951956907,98
0.12206564303,116
0.123135565182,116
0.124766786461,122
0.124891382278,110
0.125782088881,116
0.126161229436,122
0.126507565862,116
0.127231488619,116
0.128723780004,122
0.130505949531,116
0.131534049922,122
0.132101927375,110
0.132257114721,122
0.132709631607,116
0.132943146457,122
0.133803172663,110
0.135375605339,116
0.137096024836,116
0.137304968023,122
0.138326000384,122
0.139095857823,122
0.14008132021,116
0.144621238806,122
3.129342474219,110
3.130258401166,110
3.132599122187,14
3.133127564153,64
3.133499143811,116
3.134492008974,110
3.134727487032,116
3.135588506266,116
3.137056226853,14
3.137667439128,116
3.139298261624,122
3.140667356832,122
3.142050202927,122
3.142725083201,128
3.142788028376,128
3.144544972713,128
3.145452226783,128
3.148545946251,14
3.15382831659,128
3.155563279387,128
3.161881997558,14
3.173673432293,14
3.17520714917,14
3.176257865945,14
7.123304480901,110
7.126180326891,110
7.126458252467,116
7.132848965635,14
7.136617683029,122
7.138206902914,122
7.13853347067,14
7.139214038289,14
7.140319807843,64
7.145082911425,134
7.145388021304,134
7.146067339799,134
7.146213868528,128
7.146713413588,134
7.146917350929,122
7.149366744686,140
7.149636697255,140
7.149868968396,128
7.150958682099,134
7.151108682097,140
7.151767517124,128
7.151973460922,140
7.152197846527,140
7.152892904107,128
7.15324063489,140
7.153654669226,140
7.154103331216,140
7.154451530748,140
7.154851490707,140
7.154947490704,134
7.156198446137,140
7.156288876453,134
7.156579912305,128
7.157052747125,140
7.158036147613,140
7.158683649778,140
7.159843678955,140
7.160259790775,134
7.162558552292,140
7.165519518178,14
7.168832306119,14
7.168969867725,14
7.170953710675,140
7.184314860831,14
7.205242189458,14
7.206369743516,14
7.234115883391,14
7.258899900177,14
7.259154443597,14
7.292559696118,864
7.32159741063,86
7.336991449935,864
7.347412606161,864
7.377817704952,944
7.397079463015,1500
7.413959088764,864
7.517577370087,1500
7.522344860324,864
7.582223255024,1500
7.670609933678,864
7.719416754174,864
7.723541091714,1500
7.778727369817,864
7.779064809534,944
7.810298081434,864
7.810670514917,1500
7.928347540574,864
7.940397132819,1500
7.943122539942,864
7.944332354334,864
7.944979761339,1500
7.945853168108,864
7.956361343542,864
7.962027150563,1500
7.962244554176,864
7.967457369805,864
8.021794329523,104
8.022913701409,104
8.023919793065,110
8.02736670605,116
8.02817547831,116
