"packetSentToPeerWithoutRetry:vector(packetBytes) manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.110214725807,92
0.121666488356,104
0.125130407739,116
0.128938368694,110
0.130396705183,122
0.130606458661,122
0.131210054051,116
0.132191793221,110
0.134416536521,116
0.134499536521,122
0.137851318754,122
0.138525366877,122
0.138725366877,122
0.14310585605,116
3.107908584096,92
3.127701936978,104
3.134137389841,116
3.1352360252,110
3.1354360252,122
3.1355100252,116
3.138932786002,116
3.143952629684,128
3.144991048948,122
3.145589972113,128
3.155338492001,128
7.110178577967,92
7.120345758735,104
7.126353634391,110
7.13470337586,116
7.135814935135,116
7.138201966149,122
7.140686345574,64
7.143156793543,14
7.143745436188,14
7.144882806933,14
7.147364510954,1500
7.150349018394,864
7.161767893037,14
7.162160893024,14
7.162770034529,14
7.163048034529,1500
7.169350407376,14
7.170798609673,14
7.172044811624,14
7.18162384299,14
7.184689401513,14
7.184956401513,864
7.189659959591,14
7.189913599111,14
7.193550958849,14
7.197753597861,1500
7.198201597835,14
7.199604236712,864
7.2014205143,1500
7.202976152949,864
7.223259967624,944
7.22407160486,1500
7.224953242032,864
7.237460975656,1500
7.250459624461,14
7.250935259888,14
7.251170895292,14
7.252373895292,864
7.252808530608,1500
7.253564165861,864
7.253980801097,1500
7.256903436127,864
7.265777532511,944
7.277628807642,1500
7.278530812064,864
7.279653445567,14
7.279781079054,14
7.28025671252,14
7.280676712506,14
7.28952797866,1500
7.291236611397,864
7.291581244117,1500
7.298691780677,864
7.304651579537,1500
7.307733842913,864
7.311807474285,944
7.321091699128,14
7.321441329848,14
7.329265952755,1500
7.329482582948,864
7.330093213106,1500
7.331064843195,864
7.331927473236,1500
7.340979158024,864
7.348040786996,1500
7.34928304481,864
7.360560198148,944
7.363693454195,1500
7.375929750428,864
7.37630137753,1500
7.376518004611,864
7.377353631643,1500
7.377570258654,864
7.379478885511,1500
7.383547138965,864
7.384514765521,944
7.384958392057,1500
7.398751643588,864
7.399087269186,1500
7.400786894667,864
7.402068520071,1500
7.406423145096,864
7.407150770168,1500
7.407951395178,864
7.409045020124,944
7.418540988324,1500
7.419359612584,864
7.428960236311,1500
7.429877859881,864
7.431695483338,1500
7.438224106284,864
7.446561351471,1500
7.449816973735,864
7.450090595982,944
7.450471218212,1500
7.454769840152,864
